City,State,Census 2010 Total Population,"2018 Population Estimate (as of July 1, 2018)",2017 ACS 5-Year Population Estimate,Median Age,Number of Companies,Educational Attainment: Percent high school graduate or higher,Count of Governments,Total housing units,Median Household Income,Foreign Born Population,Individuals below poverty level,Race and Hispanic Origin,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some Other Race alone,Two or More Races,Hispanic or Latino (of any race),"White alone, Not Hispanic or Latino",Veterans
New York,NY,"8,398,748","8,560,072",36.2,"1,050,911",81.10%,N/A,"3,455,117","57,782","3,180,098",19.60%,,"3,661,800","2,081,507","34,487","1,198,334","4,358","1,294,497","285,089","2,491,496","2,747,159","163,465",
Brooklyn,NY,"2,504,700",N/A,"2,635,121",34.8,N/A,80.70%,N/A,"1,028,383","52,782","971,504",21.90%,,"1,138,768","869,467","8,735","313,891",975,"232,279","71,006","508,365","947,519","40,990"
Newark,NY,"3,946",N/A,"3,791",45.1,229,92.60%,N/A,"1,721","65,313",27,5.70%,,"3,714",6,5,3,0,9,54,26,"3,697",336
Los Angeles,CA,"9,818,605","10,105,518","10,105,722",36,"1,146,701",78.20%,N/A,"3,506,903","61,015","3,478,879",17.00%,,"5,232,835","828,981","68,211","1,460,508","27,691","2,101,084","386,412","4,893,579","2,676,982","280,109"
Anaheim,CA,"336,265","352,005","349,007",34,"29,541",76.60%,N/A,"104,533","65,313","128,386",16.00%,,"239,734","8,268","1,329","57,539","1,288","29,324","11,525","187,931","87,991","10,251"
San Francisco,CA,"805,235","883,305","864,263",38.3,"116,803",87.90%,N/A,"390,376","96,265","300,542",11.70%,,"408,266","45,654","3,306","295,347","3,226","64,800","43,664","131,949","353,000","24,582"
Oakland,CA,"390,724","429,082","417,442",36.4,"44,799",80.70%,N/A,"169,303","63,251","115,111",18.70%,,"153,035","101,482","3,627","66,351","2,504","61,162","29,281","112,690","113,985","12,951"
San Jose,CA,"945,942","1,030,119","1,023,031",36.4,"77,832",83.50%,N/A,"331,510","96,662","403,442",10.00%,,"416,127","30,767","5,806","355,623","4,203","158,287","52,218","330,827","271,027","28,305"
Chicago,IL,"2,695,598","2,705,994","2,722,586",34.1,"291,007",83.80%,N/A,"1,200,305","52,497","563,879",20.60%,,"1,337,911","830,626","7,723","169,458",841,"304,527","71,500","789,713","890,322","75,405"
Dallas,TX,"1,197,816","1,345,047","1,300,122",32.5,"142,658",75.90%,N/A,"552,711","47,285","317,741",21.80%,,"802,952","316,191","3,361","43,683",606,"99,633","33,696","541,665","377,990","43,602"
Arlington,TX,"365,438","398,112","388,225",33.1,"35,988",84.70%,N/A,"147,407","55,562","81,487",16.10%,,"244,490","85,023","1,619","26,689",458,"17,998","11,948","112,283","155,606","18,615"
Washington,DC,"601,723","702,455","672,391",33.9,"63,408",90.30%,N/A,"308,161","77,649","94,421",17.40%,,"273,471","321,062","1,757","25,558",289,"30,961","19,293","71,829","241,901","27,695"
Philadelphia,PA,"1,526,006","1,584,138","1,569,657",34.1,"104,439",83.30%,N/A,"679,876","40,649","210,076",25.80%,,"652,204","668,123","5,641","111,487",831,"87,384","43,987","221,777","548,312","60,637"
Boston,MA,"617,594","694,583","669,158",32,"59,268",86.10%,N/A,"285,660","62,021","189,680",20.50%,,"353,062","169,042","2,479","63,408",176,"47,900","33,091","129,520","300,491","16,221"
Minneapolis,MN,"382,578","425,403","411,452",32.1,"44,702",89.30%,N/A,"183,344","55,720","65,368",20.70%,,"263,055","77,778","5,086","24,892",79,"20,344","20,218","40,147","246,351","14,481"
St. Paul,MN,"285,068","307,695","300,820",31.5,"27,147",86.40%,N/A,"119,278","52,841","58,640",20.40%,,"172,777","47,691","2,675","54,039",80,"8,733","14,825","29,207","156,681","10,055"
Denver,CO,"600,158","716,492","678,467",34.4,"79,097",86.70%,N/A,"306,714","60,098","107,141",15.10%,,"521,481","64,466","6,537","24,433",993,"37,216","23,341","207,100","363,712","29,712"
Miami,FL,"399,457","470,914","443,007",40,"98,222",75.60%,N/A,"196,618","33,999","256,914",25.80%,,"333,912","81,512","1,141","4,172",213,"14,433","7,624","319,782","46,415","6,593"
Fort Lauderdale,FL,"165,521","182,595","177,175",42.2,"32,917",86.80%,N/A,"95,843","52,315","42,147",19.30%,,"110,270","56,770",398,"2,584",50,"3,805","3,298","31,456","85,139","9,335"
Phoenix,AZ,"1,445,632","1,660,272","1,574,421",33.3,"124,033",81.20%,N/A,"608,384","52,080","308,744",20.90%,,"1,131,958","108,846","31,543","57,211","3,192","184,145","57,526","668,376","682,354","72,364"
Detroit,MI,"713,777","672,662","679,865",34.7,"61,868",79.70%,N/A,"364,900","27,838","39,101",37.90%,,"95,875","537,931","2,322","10,185",107,"20,527","12,918","51,685","67,579","28,572"
Houston,TX,"2,099,451","2,325,502","2,267,336",32.9,"260,347",77.90%,N/A,"943,183","49,399","662,304",21.20%,,"1,326,310","518,678","7,629","151,370","1,182","216,385","45,782","1,008,249","564,663","71,749"
Atlanta,GA,"420,003","498,044","465,230",33.5,"64,593",89.90%,N/A,"235,900","51,701","32,026",22.40%,,"186,447","243,285","1,189","18,727",157,"4,863","10,562","21,450","173,337","20,066"
Tampa,FL,"335,709","392,890","368,087",35.6,"44,811",87.10%,N/A,"165,678","48,245","59,585",20.00%,,"240,097","89,032","1,128","15,506",228,"9,481","12,615","92,494","165,660","21,467"
St. Petersburg,FL,"244,769","265,098","256,031",42.6,"25,545",90.50%,N/A,"131,356","50,622","27,045",15.90%,,"177,116","58,494",501,"8,515",126,"3,204","8,075","19,555","161,439","20,786"
Pittsburgh,PA,"244,769","265,098","256,031",42.6,"25,545",90.50%,N/A,"131,356","50,622","27,045",15.90%,,"177,116","58,494",501,"8,515",126,"3,204","8,075","19,555","161,439","20,786"
Cleveland,OH,"396,815","383,793","388,812",35.8,"32,679",79.20%,N/A,"211,902","27,854","20,113",35.20%,,"154,718","196,006","1,931","8,026",60,"12,479","15,592","43,466","131,338","19,757"
Seattle,WA,"608,660","744,955","688,245",35.7,"83,323",94.20%,N/A,"334,739","79,565","123,919",12.50%,,"472,347","48,884","3,799","99,728","2,675","15,155","45,657","44,505","449,138","29,816"
Cincinnati,OH,"296,943","302,605","298,957",32.4,"26,855",86.80%,N/A,"161,881","36,429","16,378",28.70%,,"150,663","128,105",442,"5,872",399,"3,465","10,011","10,821","144,219","12,790"
Kansas City,MO,"459,787","491,918","476,974",35.2,"39,486",89.10%,N/A,"229,508","50,136","37,090",17.30%,,"287,517","136,927","1,933","13,163",690,"21,173","15,571","48,521","264,602","26,439"
St. Louis,MO,"319,294","302,838","314,867",35.2,"30,040",85.70%,N/A,"176,159","38,664","21,249",25.00%,,"144,506","149,895",887,"9,798",177,"2,991","6,613","12,280","135,150","17,137"
Baltimore,MD,"620,961","602,495","619,796",35,"50,735",84.20%,N/A,"294,858","46,641","49,565",22.40%,,"187,725","389,222","1,886","15,855",309,"10,412","14,387","30,729","170,916","29,428"
Charlotte,NC,"731,424","872,498","826,060",33.9,"81,973",88.60%,N/A,"343,222","58,202","135,701",14.90%,,"413,212","289,406","2,523","51,437",483,"45,268","23,731","115,379","348,789","35,382"
Indianapolis,IN,"820,445","867,125","853,431",34.1,"69,366",85.50%,N/A,"383,677","44,709","79,098",20.10%,,"527,521","239,617","2,299","25,496",372,"32,343","25,783","86,362","477,245","45,024"
Nashville,TN,"601,222","669,053","654,187",34.1,"68,228",87.80%,N/A,"288,871","52,858","83,921",17.20%,,"412,563","181,681","1,845","23,617",437,"17,797","16,247","67,765","363,838","30,865"
Milwaukee,WI,"594,833","592,025","599,086",31.3,"38,017",83.00%,N/A,"257,810","38,289","58,053",27.40%,,"274,202","233,178","3,192","23,888",154,"40,864","23,608","110,388","214,553","22,270"
New Orleans,LA,"343,829","391,006","388,182",35.9,"41,506",85.90%,N/A,"191,633","38,721","22,781",25.40%,,"132,202","232,127",602,"11,567",119,"4,764","6,801","21,448","118,660","16,793"
Buffalo,NY,"261,310","256,304","259,574",32.8,"15,178",83.90%,N/A,"132,066","34,268","24,538",30.90%,,"123,613","96,374","1,139","13,604",86,"14,971","9,787","29,311","114,231","11,964"
Orlando,FL,"238,300","285,713","269,414",33.3,"37,544",90.10%,N/A,"127,869","45,436","53,427",19.10%,,"163,655","70,318",628,"11,645",73,"15,281","7,814","79,890","102,760","11,714"
Portland,OR,"583,776","653,115","630,331",36.8,"75,583",91.80%,N/A,"277,499","61,532","88,203",16.20%,,"487,660","35,929","4,871","49,200","3,914","14,399","34,358","61,214","447,488","30,076"
Columbus,OH,"787,033","892,533","852,144",32.2,"67,994",89.10%,N/A,"385,850","49,478","100,383",20.80%,,"515,163","240,920","1,627","44,715",423,"14,643","34,653","50,707","484,096","40,766"
Salt Lake City,UT,"186,440","200,591","194,188",31.9,"24,710",88.50%,N/A,"83,676","54,009","31,835",17.80%,,"143,072","3,930","2,522","10,429","3,383","24,897","5,955","41,439","127,943","7,260"
San Diego,CA,"1,307,402","1,425,976","1,390,966",34.3,"135,754",87.90%,N/A,"533,973","71,535","366,602",14.50%,,"900,052","88,774","6,094","233,477","5,703","86,463","70,403","417,128","599,633","90,552"
San Antonio,TX,"1,327,407","1,532,233","1,461,623",33.2,"117,546",82.00%,N/A,"540,148","49,711","207,155",18.60%,,"1,170,477","102,197","9,733","40,127","1,462","97,544","40,083","935,458","366,363","105,608"
Sacramento,CA,"466,488","508,529","489,650",34.3,"38,244",84.40%,N/A,"194,917","54,615","110,822",19.80%,,"237,508","65,822","3,503","91,390","8,007","50,316","33,104","138,483","162,206","22,744"
Las Vegas,NV,"583,756","644,644","621,662",37.4,"55,856",84.00%,N/A,"252,912","53,159","131,944",16.20%,,"389,475","76,145","4,091","41,394","4,479","76,183","29,895","203,054","275,845","42,597"
Jacksonville,FL,"821,784","903,889","867,313",35.8,"70,192",89.00%,N/A,"375,556","50,555","91,570",16.40%,,"513,276","269,175","1,875","41,265",850,"12,610","28,262","78,930","455,227","78,455"
Oklahoma City,OK,"579,999","649,021","629,191",34.1,"58,815",85.60%,N/A,"267,357","51,581","75,877",17.10%,,"425,997","91,265","17,542","28,269",465,"24,603","41,050","120,183","340,999","41,183"
Memphis,TN,"646,889","650,618","654,723",33.7,"70,891",84.50%,N/A,"298,310","38,230","41,095",26.90%,,"191,242","418,444","1,259","10,728",123,"22,141","10,786","45,741","170,708","31,931"
Raleigh,NC,"403,892","469,298","449,477",33.1,"43,895",91.50%,N/A,"194,768","61,505","60,032",14.00%,,"265,366","129,711","1,554","20,476",345,"20,520","11,505","49,226","240,400","20,283"
Green Bay,WI,"104,057","104,879","104,796",34,"7,022",87.10%,N/A,"45,038","45,473","9,544",17.20%,,"81,128","3,964","3,654","4,200",16,"6,686","5,148","15,098","74,466","5,587"