CITY,TEAM,LEAGUE,YEAR,HOME_GMS,HOME_AVG,HOME_PCT,ROAD_GMS,ROAD_AVG,ROAD_PCT,OVR_GMS,OVR_AVG,OVR_PCT
Minneapolis,Vikings,NFL,2015,8,"52,430",99.8,8,"67,359",99.1,16,"59,894",99.4
Los Angeles,Chargers,NFL,2015,8,"52,402",80.2,8,"67,306",97.9,16,"59,854",89.3
Dallas,Cowboys,NFL,2016,8,"92,539",115.7,8,"72,721",97.9,16,"82,630",107.1
New York,NY Giants,NFL,2016,8,"78,789",95.5,8,"73,375",95.7,16,"76,082",95.6
Washington,Redskins,NFL,2016,8,"78,304",95.5,8,"72,527",100.1,16,"75,415",97.7
Green Bay,Packers,NFL,2016,8,"78,215",96,8,"67,936",97.7,16,"73,075",96.8
New York,Jets,NFL,2016,8,"78,160",94.7,8,"67,887",98.0,16,"73,023",96.2
Denver,Broncos,NFL,2016,8,"76,774",100.9,8,"64,968",94.2,16,"70,871",97.7
Los Angeles,Rams,NFL,2016,1,"74,121",89.8,8,"66,618",96.3,9,"67,452",95.5
Charlotte,Panthers,NFL,2016,8,"73,792",100,7,"69,032",95.2,15,"71,571",97.8
Kansas City,Chiefs,NFL,2016,8,"73,328",95.5,8,"66,073",95.3,16,"69,700",95.4
New Orleans,Saints,NFL,2016,8,"73,109",100.2,8,"69,520",97.0,16,"71,314",98.6
Houston,Texans,NFL,2016,8,"71,868",101.1,7,"68,684",98.1,15,"70,382",99.7
Baltimore,Ravens,NFL,2016,8,"71,102",100.1,8,"70,663",96.7,16,"70,883",98.4
San Francisco,49ers,NFL,2016,8,"70,178",102.4,7,"67,726",99.7,15,"69,033",101.2
Atlanta,Falcons,NFL,2016,8,"69,999",93.3,8,"69,549",99.3,16,"69,774",96.2
Philadelphia,Eagles,NFL,2016,8,"69,596",103,8,"71,066",97.4,16,"70,331",100.1
Seattle,Seahawks,NFL,2016,8,"69,073",103.1,7,"70,739",100.1,15,"69,850",101.7
Buffalo,Bills,NFL,2016,8,"68,509",93.7,7,"66,707",96.7,15,"67,668",95.0
Boston,Patriots,NFL,2016,8,"66,829",97.2,8,"70,017",98.8,16,"68,423",98.0
Minneapolis,Vikings,NFL,2016,8,"66,786",99.9,8,"68,776",96.6,16,"67,781",98.2
Indianapolis,Colts,NFL,2016,8,"65,549",104,7,"70,293",96.9,15,"67,763",100.5
Miami,Dolphins,NFL,2016,8,"65,512",100.3,7,"66,506",93.3,15,"65,976",96.9
Phoenix,AZ Cardinals,NFL,2016,8,"64,831",102.3,7,"69,107",98.3,15,"66,827",100.3
Nashville,Titans,NFL,2016,8,"64,659",93.5,8,"62,404",92.3,16,"63,531",92.9
Pittsburgh,Steelers,NFL,2016,8,"64,312",98.9,8,"68,890",96.6,16,"66,601",97.7
Cleveland,Browns,NFL,2016,8,"64,311",87.9,8,"66,292",93.3,16,"65,301",90.5
Jacksonville,Jaguars,NFL,2016,7,"61,915",92.2,8,"64,303",93.5,15,"63,189",92.9
Detroit,Lions,NFL,2016,8,"60,792",94.3,8,"73,620",102.1,16,"67,206",98.4
Tampa,Buccaneers,NFL,2016,8,"60,624",92.3,8,"71,200",98.6,16,"65,912",95.6
Cincinnati,Bengals,NFL,2016,7,"60,511",92.4,8,"72,587",97.8,15,"66,952",95.4
Chicago,Bears,NFL,2016,8,"60,368",98.2,8,"72,207",100.9,16,"66,287",99.6
Los Angeles,Chargers,NFL,2016,8,"57,024",80,8,"67,734",95.4,16,"62,379",87.7
Oakland,Raiders,NFL,2016,7,"54,584",86.6,8,"68,826",96.6,15,"62,179",92.2
Dallas,Cowboys,NFL,2017,8,"92,721",92.7,8,"70,929",97.0,16,"81,825",94.5
Green Bay,Packers,NFL,2017,8,"78,092",106.8,8,"69,851",94.7,16,"73,972",100.7
New York,Jets,NFL,2017,8,"77,562",94,8,"65,357",93.5,16,"71,459",93.8
New York,NY Giants,NFL,2017,8,"77,179",93.6,8,"70,700",95.3,16,"73,939",94.4
Denver,Broncos,NFL,2017,8,"76,355",100.3,8,"62,101",100.3,16,"69,228",100.3
Washington,Redskins,NFL,2017,8,"75,175",88.4,8,"67,029",94.8,16,"71,102",91.3
Kansas City,Chiefs,NFL,2017,8,"74,106",97,8,"67,664",100.0,16,"70,885",98.4
Charlotte,Panthers,NFL,2017,8,"73,617",99.8,8,"68,127",97.2,16,"70,872",98.5
New Orleans,Saints,NFL,2017,8,"73,139",95.6,8,"70,116",94.6,16,"71,627",95.1
Atlanta,Falcons,NFL,2017,8,"71,960",95.9,8,"68,422",98.1,16,"70,191",97.0
Houston,Texans,NFL,2017,8,"71,774",101,8,"63,281",90.0,16,"67,527",95.5
Baltimore,Ravens,NFL,2017,8,"70,588",99.4,8,"65,452",94.7,16,"68,020",97.1
San Francisco,49ers,NFL,2017,8,"70,144",102.4,8,"67,856",94.3,16,"69,000",98.2
Philadelphia,Eagles,NFL,2017,8,"69,596",100,8,"70,046",96.9,16,"69,821",98.4
Seattle,Seahawks,NFL,2017,8,"68,976",102.9,8,"72,266",93.4,16,"70,621",97.8
Miami,Dolphins,NFL,2017,8,"67,627",103.5,8,"63,767",98.5,16,"65,697",101.0
Buffalo,Bills,NFL,2017,8,"66,775",91.4,8,"63,339",100.5,16,"65,057",95.6
Minneapolis,Vikings,NFL,2017,8,"66,721",91.4,8,"70,767",98.5,16,"68,744",94.9
Boston,Patriots,NFL,2017,8,"65,878",100,8,"71,500",100.2,16,"68,689",100.1
Nashville,Titans,NFL,2017,8,"65,651",95,8,"64,363",95.0,16,"65,007",95.0
Jacksonville,Jaguars,NFL,2017,8,"64,303",95.6,8,"66,892",95.4,16,"65,598",95.5
Phoenix,AZ Cardinals,NFL,2017,8,"64,217",98.8,8,"68,667",94.3,16,"66,442",96.4
Detroit,Lions,NFL,2017,8,"64,137",98.7,8,"66,708",93.8,16,"65,422",96.1
Cleveland,Browns,NFL,2017,8,"63,882",87.3,8,"57,118",98.2,16,"60,500",92.1
Indianapolis,Colts,NFL,2017,8,"63,440",100.7,8,"64,314",89.1,16,"63,877",94.5
Los Angeles,Rams,NFL,2017,8,"63,392",67.7,8,"69,390",93.7,16,"66,391",79.2
Pittsburgh,Steelers,NFL,2017,8,"62,471",91.3,8,"67,090",98.2,16,"64,780",94.8
Chicago,Bears,NFL,2017,8,"61,142",99.4,8,"66,635",95.3,16,"63,888",97.2
Tampa,Buccaneers,NFL,2017,8,"59,952",91,8,"69,667",97.0,16,"64,810",94.1
Oakland,Raiders,NFL,2017,8,"57,775",91.5,8,"65,918",102.5,16,"61,846",97.0
Cincinnati,Bengals,NFL,2017,8,"53,275",81.3,8,"69,039",96.7,16,"61,157",89.3
Los Angeles,Chargers,NFL,2017,8,"25,335",-,8,"72,585",94.6,16,"48,960",127.6
Dallas,Cowboys,NFL,2018,8,"91,619",91.6,8,"71,304",97.2,16,"81,462",94.0
New York,Jets,NFL,2018,8,"77,982",94.5,8,"63,370",95.1,16,"70,676",94.8
Green Bay,Packers,NFL,2018,8,"77,834",95.6,8,"67,645",92.4,16,"72,740",94.1
New York,NY Giants,NFL,2018,8,"76,940",93.3,8,"70,950",94.0,16,"73,945",93.6
Denver,Broncos,NFL,2018,8,"76,446",100.4,8,"60,094",93.9,16,"68,270",97.4
Kansas City,Chiefs,NFL,2018,8,"75,972",99.4,8,"62,449",95.5,16,"69,211",97.6
Charlotte,Panthers,NFL,2018,8,"73,772",100,8,"64,071",90.6,16,"68,922",95.4
New Orleans,Saints,NFL,2018,8,"73,051",100.1,8,"70,411",93.8,16,"71,731",96.9
Atlanta,Falcons,NFL,2018,8,"72,898",97.2,8,"66,994",92.2,16,"69,946",94.7
Los Angeles,Rams,NFL,2018,8,"72,429",77.4,8,"65,371",98.1,16,"68,900",86.0
Houston,Texans,NFL,2018,8,"71,804",99.7,8,"67,255",93.4,16,"69,530",96.6
Baltimore,Ravens,NFL,2018,8,"70,431",99.2,8,"61,241",93.7,16,"65,836",96.6
Philadelphia,Eagles,NFL,2018,8,"69,696",100.1,8,"74,021",93.4,16,"71,858",96.6
San Francisco,49ers,NFL,2018,8,"69,148",100.9,8,"62,408",91.7,16,"65,778",96.3
Seattle,Seahawks,NFL,2018,8,"69,001",100.4,8,"70,761",101.3,16,"69,881",100.8
Minneapolis,Vikings,NFL,2018,8,"66,811",99.9,8,"69,542",94.7,16,"68,177",97.2
Jacksonville,Jaguars,NFL,2018,7,"66,674",98.3,8,"69,663",92.9,15,"68,268",95.3
Boston,Patriots,NFL,2018,8,"65,878",100,8,"67,688",98.4,16,"66,783",99.2
Cleveland,Browns,NFL,2018,8,"65,765",97.5,8,"64,914",94.8,16,"65,340",96.2
Miami,Dolphins,NFL,2018,8,"65,560",101.2,8,"67,212",94.5,16,"66,386",97.7
Buffalo,Bills,NFL,2018,8,"64,961",90.4,8,"69,150",97.5,16,"67,056",93.9
Nashville,Titans,NFL,2018,8,"64,520",93.3,7,"70,233",94.2,15,"67,186",93.7
Pittsburgh,Steelers,NFL,2018,8,"63,456",92.8,8,"66,607",98.2,16,"65,031",95.5
Detroit,Lions,NFL,2018,8,"62,795",97.4,8,"69,033",95.2,16,"65,914",96.2
Phoenix,AZ Cardinals,NFL,2018,8,"62,013",95.4,8,"65,252",93.6,16,"63,632",94.5
Chicago,Bears,NFL,2018,8,"61,815",100.5,8,"69,389",98.2,16,"65,602",99.3
Washington,Redskins,NFL,2018,8,"61,028",74.4,8,"69,367",93.6,16,"65,197",83.5
Indianapolis,Colts,NFL,2018,8,"59,199",94,8,"66,595",94.3,16,"62,897",94.1
Oakland,Raiders,NFL,2018,8,"57,919",103.4,8,"61,488",95.6,16,"59,703",99.3
Tampa,Buccaneers,NFL,2018,8,"54,356",82.8,8,"70,623",93.8,16,"62,490",88.7
Cincinnati,Bengals,NFL,2018,8,"50,753",77.5,8,"63,157",96.8,16,"56,955",87.1
Los Angeles,Chargers,NFL,2018,8,"32,768",121.4,8,"67,676",96.3,16,"50,222",103.2
New York,Yankees,MLB,2008,81,"53,069",92.3,81,"35,192",78.0,162,"44,131",86.0
New York,Mets,MLB,2008,79,"51,165",89.1,81,"35,944",81.0,160,"43,459",85.0
Los Angeles,Dodgers,MLB,2008,81,"46,056",82.2,81,"34,709",78.0,162,"40,383",80.0
St. Louis,Cardinals,MLB,2008,81,"42,353",90.4,81,"32,342",75.0,162,"37,348",83.0
Philadelphia,Phillies,MLB,2008,81,"42,254",97.1,81,"33,214",73.0,162,"37,734",85.0
Anaheim,Angels,MLB,2008,81,"41,194",91.4,81,"29,621",65.0,162,"35,407",78.0
Chicago,Cubs,MLB,2008,81,"40,743",99.1,80,"36,328",82.0,161,"38,549",90.0
Detroit,Tigers,MLB,2008,81,"39,538",98.6,80,"29,308",65.0,161,"34,455",81.0
Milwaukee,Brewers,MLB,2008,81,"37,882",89.3,81,"33,236",75.0,162,"35,559",82.0
Boston,Red Sox,MLB,2008,81,"37,632",104.0,81,"38,367",84.0,162,"37,999",93.0
San Francisco,Giants,MLB,2008,81,"35,356",85.1,80,"32,269",70.0,161,"33,822",77.0
Houston,Astros,MLB,2008,80,"34,741",84.8,81,"32,197",72.0,161,"33,461",78.0
Denver,Rockies,MLB,2008,80,"33,127",65.7,81,"32,777",73.0,161,"32,951",69.0
Atlanta,Braves,MLB,2008,81,"31,269",62.4,79,"34,105",76.0,160,"32,669",69.0
Phoenix,Diamondbacks,MLB,2008,81,"30,986",63.2,81,"33,945",75.0,162,"32,466",69.0
Chicago,White Sox,MLB,2008,81,"30,877",76.0,81,"30,253",67.0,162,"30,565",71.0
San Diego,Padres,MLB,2008,81,"29,969",70.5,81,"35,798",77.0,162,"32,883",74.0
Washington,Nationals,MLB,2008,80,"29,005",69.2,80,"32,825",71.0,160,"30,915",70.0
Seattle,Mariners,MLB,2008,81,"28,761",60.2,81,"29,822",64.0,162,"29,292",62.0
Minneapolis,Twins,MLB,2008,81,"28,425",58.4,81,"29,660",68.0,162,"29,042",63.0
Cleveland,Indians,MLB,2008,80,"27,122",62.5,80,"31,026",69.0,160,"29,074",66.0
Cincinnati,Reds,MLB,2008,81,"25,415",60.4,81,"34,285",77.0,162,"29,850",69.0
Baltimore,Orioles,MLB,2008,78,"25,000",51.9,80,"31,653",70.0,158,"28,369",61.0
Arlington,Rangers,MLB,2008,80,"24,320",49.5,80,"29,765",66.0,160,"27,043",58.0
St. Petersburg,Rays,MLB,2008,80,"22,259",52.8,80,"30,342",67.0,160,"26,301",60.0
Oakland,Athletics,MLB,2008,81,"20,558",48.3,79,"29,943",65.0,160,"25,192",57.0
Pittsburgh,Pirates,MLB,2008,80,"20,113",52.4,81,"33,700",76.0,161,"26,949",65.0
Kansas City,Royals,MLB,2008,79,"19,986",49.0,81,"29,926",66.0,160,"25,018",58.0
Miami,Marlins,MLB,2008,80,"16,688",45.9,79,"33,340",72.0,159,"24,962",60.0
Los Angeles,Dodgers,MLB,2009,81,"46,440",82.9,81,"33,534",76.0,162,"39,987",80.0
New York,Yankees,MLB,2009,81,"45,364",86.7,81,"34,482",78.0,162,"39,923",83.0
Philadelphia,Phillies,MLB,2009,81,"44,453",102.2,80,"30,760",69.0,161,"37,649",86.0
St. Louis,Cardinals,MLB,2009,81,"41,274",88.1,81,"31,815",75.0,162,"36,545",82.0
Anaheim,Angels,MLB,2009,81,"40,004",88.8,80,"26,552",58.0,161,"33,320",73.0
Chicago,Cubs,MLB,2009,80,"39,610",96.3,81,"34,930",80.0,161,"37,256",88.0
New York,Mets,MLB,2009,81,"38,941",92.7,81,"31,809",73.0,162,"35,375",82.0
Boston,Red Sox,MLB,2009,81,"37,811",101.5,81,"33,869",73.0,162,"35,840",86.0
Milwaukee,Brewers,MLB,2009,81,"37,499",88.4,81,"30,413",70.0,162,"33,956",79.0
San Francisco,Giants,MLB,2009,81,"35,322",85.0,80,"32,234",70.0,161,"33,788",77.0
Denver,Rockies,MLB,2009,81,"32,902",65.2,80,"30,938",69.0,161,"31,926",67.0
Detroit,Tigers,MLB,2009,81,"31,693",79.0,82,"29,622",67.0,163,"30,651",73.0
Houston,Astros,MLB,2009,81,"31,124",76.0,81,"30,666",69.0,162,"30,895",72.0
Minneapolis,Twins,MLB,2009,82,"29,466",60.5,81,"27,801",64.0,163,"28,638",62.0
Atlanta,Braves,MLB,2009,81,"29,304",58.5,81,"31,612",74.0,162,"30,458",65.0
Chicago,White Sox,MLB,2009,81,"28,199",69.4,80,"28,723",65.0,161,"28,459",67.0
Arlington,Rangers,MLB,2009,78,"27,641",56.3,80,"27,629",61.0,158,"27,635",59.0
Seattle,Mariners,MLB,2009,81,"27,116",56.8,80,"27,624",61.0,161,"27,368",59.0
Phoenix,Diamondbacks,MLB,2009,81,"26,281",53.6,80,"30,457",68.0,161,"28,356",60.0
San Diego,Padres,MLB,2009,81,"23,735",55.8,81,"31,526",69.0,162,"27,631",63.0
Baltimore,Orioles,MLB,2009,81,"23,545",48.9,81,"28,108",63.0,162,"25,826",56.0
St. Petersburg,Rays,MLB,2009,81,"23,147",52.9,81,"28,643",63.0,162,"25,895",58.0
Washington,Nationals,MLB,2009,80,"22,715",54.2,81,"31,345",71.0,161,"27,056",63.0
Cleveland,Indians,MLB,2009,79,"22,492",51.8,81,"27,843",64.0,160,"25,201",58.0
Kansas City,Royals,MLB,2009,80,"22,473",58.9,81,"27,799",63.0,161,"25,153",61.0
Cincinnati,Reds,MLB,2009,81,"21,579",51.3,81,"31,492",72.0,162,"26,535",62.0
Pittsburgh,Pirates,MLB,2009,81,"19,479",50.8,80,"30,531",69.0,161,"24,971",61.0
Miami,Marlins,MLB,2009,78,"18,770",51.7,81,"30,385",68.0,159,"24,687",61.0
Oakland,Athletics,MLB,2009,81,"17,392",39.8,80,"28,956",64.0,161,"23,138",52.0
New York,Yankees,MLB,2010,81,"46,491",88.9,81,"34,939",78.0,162,"40,715",84.0
Philadelphia,Phillies,MLB,2010,81,"45,027",103.5,81,"32,982",76.0,162,"39,005",90.0
Los Angeles,Dodgers,MLB,2010,81,"43,979",78.5,80,"33,806",77.0,161,"38,924",78.0
St. Louis,Cardinals,MLB,2010,81,"40,755",87.0,81,"30,687",71.0,162,"35,721",79.0
Anaheim,Angels,MLB,2010,81,"40,133",89.1,81,"30,257",68.0,162,"35,195",78.0
Minneapolis,Twins,MLB,2010,81,"39,798",100.7,81,"27,350",63.0,162,"33,574",81.0
Chicago,Cubs,MLB,2010,81,"37,814",92.0,81,"32,272",74.0,162,"35,043",83.0
Boston,Red Sox,MLB,2010,81,"37,610",100.9,81,"32,285",70.0,162,"34,948",84.0
San Francisco,Giants,MLB,2010,81,"37,499",90.3,81,"32,035",70.0,162,"34,767",80.0
Denver,Rockies,MLB,2010,80,"35,940",71.2,81,"31,502",71.0,161,"33,707",71.0
Milwaukee,Brewers,MLB,2010,81,"34,278",80.8,80,"30,647",70.0,161,"32,474",76.0
New York,Mets,MLB,2010,79,"32,401",77.1,81,"29,318",68.0,160,"30,841",73.0
Atlanta,Braves,MLB,2010,81,"30,989",61.9,81,"31,203",73.0,162,"31,096",67.0
Arlington,Rangers,MLB,2010,81,"30,928",63.0,81,"26,566",61.0,162,"28,747",62.0
Detroit,Tigers,MLB,2010,81,"30,385",75.7,79,"29,700",67.0,160,"30,047",71.0
Houston,Astros,MLB,2010,81,"28,783",70.3,81,"31,866",73.0,162,"30,325",72.0
Chicago,White Sox,MLB,2010,81,"27,091",66.7,80,"26,311",61.0,161,"26,703",64.0
San Diego,Padres,MLB,2010,81,"26,318",61.9,81,"31,104",68.0,162,"28,711",65.0
Seattle,Mariners,MLB,2010,81,"25,746",53.9,81,"27,809",62.0,162,"26,778",58.0
Cincinnati,Reds,MLB,2010,81,"25,438",60.5,81,"29,781",69.0,162,"27,610",65.0
Phoenix,Diamondbacks,MLB,2010,81,"25,394",51.8,81,"31,838",72.0,162,"28,616",61.0
St. Petersburg,Rays,MLB,2010,81,"22,758",52.0,81,"27,187",61.0,162,"24,972",56.0
Washington,Nationals,MLB,2010,81,"22,568",53.9,81,"29,665",68.0,162,"26,117",61.0
Baltimore,Orioles,MLB,2010,80,"21,662",45.0,81,"27,687",63.0,161,"24,693",53.0
Kansas City,Royals,MLB,2010,80,"20,191",52.9,81,"27,338",63.0,161,"23,787",58.0
Pittsburgh,Pirates,MLB,2010,81,"19,918",51.9,81,"30,600",70.0,162,"25,259",62.0
Miami,Marlins,MLB,2010,81,"18,953",54.2,80,"30,684",69.0,161,"24,782",63.0
Oakland,Athletics,MLB,2010,81,"17,511",40.1,81,"29,719",67.0,162,"23,615",53.0
Cleveland,Indians,MLB,2010,80,"17,435",40.2,81,"29,205",69.0,161,"23,357",54.0
Philadelphia,Phillies,MLB,2011,81,"45,440",104.1,81,"33,000",75.0,162,"39,220",90.0
New York,Yankees,MLB,2011,81,"45,107",89.7,81,"33,228",79.0,162,"39,167",85.0
San Francisco,Giants,MLB,2011,81,"41,818",99.8,81,"32,757",73.0,162,"37,287",86.0
Minneapolis,Twins,MLB,2011,81,"39,112",99.0,81,"28,949",69.0,162,"34,031",83.0
Anaheim,Angels,MLB,2011,81,"39,090",86.1,81,"26,125",61.0,162,"32,608",74.0
St. Louis,Cardinals,MLB,2011,81,"38,196",86.9,81,"30,439",72.0,162,"34,318",79.0
Milwaukee,Brewers,MLB,2011,81,"37,918",90.5,78,"30,657",71.0,159,"34,356",81.0
Boston,Red Sox,MLB,2011,81,"37,703",101.7,81,"31,999",73.0,162,"34,851",86.0
Chicago,Cubs,MLB,2011,81,"37,258",90.5,81,"32,797",76.0,162,"35,028",83.0
Arlington,Rangers,MLB,2011,81,"36,382",74.0,80,"28,674",68.0,161,"32,552",71.0
Los Angeles,Dodgers,MLB,2011,81,"36,236",64.7,80,"32,584",74.0,161,"34,421",69.0
Denver,Rockies,MLB,2011,81,"35,923",71.1,80,"30,299",68.0,161,"33,128",70.0
Detroit,Tigers,MLB,2011,81,"32,617",79.1,81,"27,629",65.0,162,"30,123",72.0
New York,Mets,MLB,2011,79,"30,108",72.0,80,"33,079",75.0,159,"31,603",74.0
Atlanta,Braves,MLB,2011,79,"30,037",60.4,81,"31,029",72.0,160,"30,539",66.0
Cincinnati,Reds,MLB,2011,81,"27,327",64.6,80,"33,120",77.0,161,"30,205",71.0
San Diego,Padres,MLB,2011,81,"26,457",62.0,81,"32,929",73.0,162,"29,693",68.0
Phoenix,Diamondbacks,MLB,2011,81,"25,992",53.4,81,"30,175",68.0,162,"28,084",61.0
Houston,Astros,MLB,2011,81,"25,518",62.3,81,"28,588",65.0,162,"27,053",64.0
Washington,Nationals,MLB,2011,78,"24,877",59.9,81,"29,484",67.0,159,"27,224",64.0
Chicago,White Sox,MLB,2011,81,"24,705",60.8,81,"29,256",68.0,162,"26,980",65.0
Pittsburgh,Pirates,MLB,2011,80,"24,255",63.2,80,"30,905",70.0,160,"27,580",67.0
Seattle,Mariners,MLB,2011,81,"23,411",48.9,81,"27,873",66.0,162,"25,642",57.0
Cleveland,Indians,MLB,2011,81,"22,726",52.3,81,"30,671",72.0,162,"26,698",62.0
Baltimore,Orioles,MLB,2011,80,"21,943",48.3,81,"27,819",66.0,161,"24,899",57.0
Kansas City,Royals,MLB,2011,81,"21,289",56.2,81,"29,257",69.0,162,"25,273",63.0
Miami,Marlins,MLB,2011,80,"19,007",48.8,80,"30,834",71.0,160,"24,920",60.0
St. Petersburg,Rays,MLB,2011,81,"18,878",55.4,81,"28,353",65.0,162,"23,616",61.0
Oakland,Athletics,MLB,2011,81,"18,232",52.0,81,"30,476",69.0,162,"24,354",61.0
Philadelphia,Phillies,MLB,2012,81,"44,021",100.8,81,"31,749",73.0,162,"37,885",87.0
New York,Yankees,MLB,2012,81,"43,733",87.0,81,"34,154",82.0,162,"38,943",85.0
Arlington,Rangers,MLB,2012,81,"42,719",86.9,80,"28,209",67.0,161,"35,509",78.0
San Francisco,Giants,MLB,2012,81,"41,695",99.5,80,"32,889",72.0,161,"37,320",86.0
Los Angeles,Dodgers,MLB,2012,81,"41,040",73.3,80,"32,640",74.0,161,"36,866",74.0
St. Louis,Cardinals,MLB,2012,81,"40,272",91.6,81,"31,436",73.0,162,"35,854",82.0
Anaheim,Angels,MLB,2012,81,"37,799",83.3,81,"30,831",70.0,162,"34,315",77.0
Boston,Red Sox,MLB,2012,81,"37,567",101.4,81,"31,038",72.0,162,"34,303",86.0
Detroit,Tigers,MLB,2012,81,"37,383",90.6,81,"30,539",74.0,162,"33,961",82.0
Chicago,Cubs,MLB,2012,81,"35,589",86.5,81,"32,485",75.0,162,"34,037",81.0
Milwaukee,Brewers,MLB,2012,81,"34,955",83.4,81,"30,580",71.0,162,"32,767",77.0
Minneapolis,Twins,MLB,2012,81,"34,275",86.8,80,"28,306",67.0,161,"31,309",76.0
Denver,Rockies,MLB,2012,81,"32,474",64.3,80,"32,301",72.0,161,"32,388",68.0
Washington,Nationals,MLB,2012,79,"30,010",72.3,81,"33,116",76.0,160,"31,582",74.0
Atlanta,Braves,MLB,2012,81,"29,878",60.1,81,"31,936",75.0,162,"30,907",67.0
Cincinnati,Reds,MLB,2012,81,"28,978",68.5,81,"30,784",72.0,162,"29,881",70.0
New York,Mets,MLB,2012,80,"28,035",67.1,81,"33,720",77.0,161,"30,895",72.0
Miami,Marlins,MLB,2012,81,"27,400",73.2,80,"30,986",71.0,161,"29,182",72.0
Phoenix,Diamondbacks,MLB,2012,81,"26,884",55.3,81,"32,292",72.0,162,"29,588",63.0
Baltimore,Orioles,MLB,2012,79,"26,610",58.6,81,"29,549",69.0,160,"28,098",64.0
San Diego,Padres,MLB,2012,81,"26,218",61.4,81,"31,422",69.0,162,"28,820",66.0
Pittsburgh,Pirates,MLB,2012,80,"26,148",68.2,81,"31,307",72.0,161,"28,744",70.0
Chicago,White Sox,MLB,2012,81,"24,271",59.8,81,"29,983",70.0,162,"27,127",65.0
Kansas City,Royals,MLB,2012,80,"21,748",57.4,81,"27,447",65.0,161,"24,615",61.0
Seattle,Mariners,MLB,2012,81,"21,258",44.4,81,"28,262",67.0,162,"24,760",55.0
Oakland,Athletics,MLB,2012,81,"20,728",60.6,81,"29,978",68.0,162,"25,353",65.0
Houston,Astros,MLB,2012,81,"19,848",48.5,81,"31,119",72.0,162,"25,483",61.0
Cleveland,Indians,MLB,2012,81,"19,797",45.6,81,"28,285",68.0,162,"24,041",57.0
St. Petersburg,Rays,MLB,2012,81,"19,255",56.5,81,"30,403",69.0,162,"24,829",64.0
Los Angeles,Dodgers,MLB,2013,81,"46,216",82.5,81,"35,348",79.0,162,"40,782",81.0
St. Louis,Cardinals,MLB,2013,81,"41,602",94.6,80,"32,374",76.0,161,"37,016",85.0
San Francisco,Giants,MLB,2013,80,"41,584",99.2,81,"34,977",77.0,161,"38,260",87.0
New York,Yankees,MLB,2013,81,"40,488",80.5,80,"33,632",79.0,161,"37,082",80.0
Arlington,Rangers,MLB,2013,82,"38,759",78.8,81,"28,121",67.0,163,"33,473",73.0
Detroit,Tigers,MLB,2013,81,"38,066",92.3,81,"28,024",67.0,162,"33,045",80.0
