YEAR_RANK,YEAR,TEAM,HOME_GMS,TOTAL,AVG,PCT,ROAD_GMS,TOTAL,AVG,PCT,OVERALL_GMS,TOTAL,AVG,PCT
1,2008,Redskins,8,"708,835","88,604",96.6,8,"537,384","67,173",97,16,"1,246,219","77,888",96.8
2,2008,NY Giants,8,"632,554","79,069",95.8,8,"546,604","68,325",98.3,16,"1,179,158","73,697",96.9
3,2008,Jets,8,"627,858","78,482",95.1,8,"542,371","67,796",97.2,16,"1,170,229","73,139",96.1
4,2008,Broncos,8,"604,074","75,509",99.2,8,"565,270","70,658",97.4,16,"1,169,344","73,084",98.3
5,2008,Chiefs,8,"592,622","74,077",96.5,8,"549,606","68,700",96,16,"1,142,228","71,389",96.3
6,2008,Panthers,8,"585,684","73,210",99.2,8,"525,632","65,704",93.2,16,"1,111,316","69,457",96.3
7,2008,Browns,8,"582,230","72,778",99.4,8,"565,392","70,674",99.2,16,"1,147,622","71,726",99.3
8,2008,Bills,7,"499,835","71,405",97.7,8,"550,452","68,806",95.7,15,"1,050,287","70,019",96.6
9,2008,Ravens,8,"570,152","71,269",100.4,8,"545,313","68,164",97.1,16,"1,115,465","69,716",98.8
10,2008,Packers,8,"565,460","70,682",96.9,8,"523,973","65,496",98.5,16,"1,089,433","68,089",97.7
11,2008,Texans,8,"563,364","70,420",99.1,8,"512,254","64,031",95.3,16,"1,075,618","67,226",97.3
12,2008,Saints,7,"490,650","70,092",96.1,8,"552,062","69,007",95,15,"1,042,712","69,514",95.5
13,2008,Eagles,8,"553,152","69,144",102.3,8,"558,693","69,836",97.1,16,"1,111,845","69,490",99.6
14,2008,Titans,8,"553,144","69,143",100,8,"534,917","66,864",99,16,"1,088,061","68,003",99.5
15,2008,Patriots,8,"550,048","68,756",100,8,"550,100","68,762",97.3,16,"1,100,148","68,759",98.6
16,2008,Rams,8,"545,107","68,138",95.6,7,"475,059","67,865",96,15,"1,020,166","68,011",95.8
17,2008,Seahawks,8,"543,965","67,995",101.5,8,"531,150","66,393",94.6,16,"1,075,115","67,194",98
18,2008,49ers,8,"540,103","67,512",96.2,8,"536,255","67,031",94.8,16,"1,076,358","67,272",95.5
19,2008,Colts,8,"531,026","66,378",105.4,8,"544,386","68,048",98.3,16,"1,075,412","67,213",101.7
20,2008,Dolphins,8,"523,919","65,489",87.1,7,"491,912","70,273",97.6,15,"1,015,831","67,722",91.9
21,2008,Jaguars,8,"521,338","65,167",97,8,"531,535","66,441",98.1,16,"1,052,873","65,804",97.6
22,2008,Bengals,8,"516,663","64,582",98.6,8,"559,799","69,974",97.5,16,"1,076,462","67,278",98
23,2008,Buccaneers,8,"516,088","64,511",98.3,8,"532,965","66,620",94.7,16,"1,049,053","65,565",96.4
24,2008,AZ Cardinals,8,"512,775","64,096",101.1,8,"574,297","71,787",97.8,16,"1,087,072","67,942",99.4
25,2008,Falcons,8,"512,527","64,065",89.9,8,"537,349","67,168",97.5,16,"1,049,876","65,617",93.6
26,2008,Cowboys,8,"506,944","63,368",96.2,8,"569,943","71,242",98,16,"1,076,887","67,305",97.1
27,2008,Vikings,8,"506,136","63,267",98.7,8,"517,640","64,705",96.3,16,"1,023,776","63,986",97.5
28,2008,Steelers,8,"503,125","62,890",96.8,8,"573,873","71,734",100,16,"1,076,998","67,312",98.4
29,2008,Bears,8,"496,276","62,034",100.9,8,"532,130","66,516",97.5,16,"1,028,406","64,275",99.1
30,2008,Chargers,8,"479,843","59,980",91.8,8,"570,271","71,283",97.9,16,"1,050,114","65,632",95
31,2008,Raiders,8,"462,800","57,850",91.8,8,"561,223","70,152",96.4,16,"1,024,023","64,001",94.3
32,2008,Lions,8,"435,979","54,497",84.5,8,"534,466","66,808",97.6,16,"970,445","60,652",91.2
1,2009,Cowboys,8,"718,055","89,756",112.2,8,"589,176","73,647",97.6,16,"1,307,231","81,701",105.1
2,2009,Redskins,8,"678,352","84,794",92.5,8,"527,052","65,881",92.2,16,"1,205,404","75,337",92.3
3,2009,NY Giants,8,"629,615","78,701",98.1,8,"594,312","74,289",99.9,16,"1,223,927","76,495",99
4,2009,Jets,8,"616,420","77,052",96,7,"447,957","63,993",93.4,15,"1,064,377","70,958",94.9
5,2009,Broncos,8,"600,928","75,116",98.7,8,"538,731","67,341",94.5,16,"1,139,659","71,228",96.7
6,2009,Panthers,8,"586,314","73,289",99.3,8,"576,311","72,038",98.9,16,"1,162,625","72,664",99.1
7,2009,Ravens,8,"568,660","71,082",100.1,8,"505,417","63,177",92.9,16,"1,074,077","67,129",96.6
8,2009,Packers,8,"565,666","70,708",97,8,"501,517","62,689",95.9,16,"1,067,183","66,698",96.5
9,2009,Texans,8,"564,864","70,608",99.4,8,"484,986","60,623",89.5,16,"1,049,850","65,615",94.6
10,2009,Bills,7,"490,898","70,128",95.9,8,"538,279","67,284",92.4,15,"1,029,177","68,611",94.1
11,2009,Saints,8,"560,840","70,105",96.1,8,"555,169","69,396",95.1,16,"1,116,009","69,750",95.6
12,2009,49ers,8,"557,856","69,732",99.3,8,"517,743","64,717",96.9,16,"1,075,599","67,224",98.1
13,2009,Eagles,8,"553,152","69,144",102.3,8,"591,743","73,967",99.8,16,"1,144,895","71,555",101
14,2009,Titans,8,"553,144","69,143",100,8,"532,951","66,618",96.5,16,"1,086,095","67,880",98.2
15,2009,Browns,8,"551,110","68,888",94.1,8,"503,105","62,888",90.9,16,"1,054,215","65,888",92.5
16,2009,Patriots,8,"550,048","68,756",100,7,"503,698","71,956",98.4,15,"1,053,746","70,249",99.2
17,2009,Falcons,8,"545,389","68,173",95.7,8,"581,271","72,658",98.2,16,"1,126,660","70,416",97
18,2009,Rams,8,"540,345","67,543",94.7,8,"576,476","72,059",98.8,16,"1,116,821","69,801",96.8
19,2009,Dolphins,8,"540,342","67,542",89.8,8,"554,353","69,294",96.5,16,"1,094,695","68,418",93.1
20,2009,Chiefs,8,"540,114","67,514",88,8,"509,419","63,677",88.8,16,"1,049,533","65,595",88.4
21,2009,Seahawks,8,"539,141","67,392",100.6,8,"531,146","66,393",96.6,16,"1,070,287","66,892",98.6
22,2009,Colts,8,"532,398","66,549",105.6,8,"534,081","66,760",96.2,16,"1,066,479","66,654",100.7
23,2009,Bengals,8,"512,032","64,004",97.7,8,"523,036","65,379",93.3,16,"1,035,068","64,691",95.4
24,2009,Vikings,8,"510,203","63,775",99.5,8,"523,920","65,490",97.1,16,"1,034,123","64,632",98.2
25,2009,Steelers,8,"507,882","63,485",97.7,8,"543,504","67,938",96.4,16,"1,051,386","65,711",97
26,2009,AZ Cardinals,8,"505,143","63,142",99.6,8,"494,007","61,750",90.6,16,"999,150","62,446",95
27,2009,Buccaneers,7,"440,940","62,991",96,8,"568,475","71,059",95.9,15,"1,009,415","67,294",95.9
28,2009,Bears,8,"498,000","62,250",101.2,8,"533,114","66,639",97.5,16,"1,031,114","64,444",99.3
29,2009,Chargers,8,"441,901","55,237",84.6,8,"501,726","62,715",90.5,16,"943,627","58,976",87.6
30,2009,Jaguars,8,"397,214","49,651",73.9,8,"553,947","69,243",98.5,16,"951,161","59,447",86.5
31,2009,Lions,8,"395,162","49,395",76.6,8,"536,519","67,064",98.4,16,"931,681","58,230",87.8
32,2009,Raiders,8,"354,276","44,284",70.3,8,"573,263","71,657",96.6,16,"927,539","57,971",84.5
1,2010,Cowboys,8,"696,377","87,047",108.8,8,"581,596","72,699",100.9,16,"1,277,973","79,873",105.1
2,2010,Redskins,8,"665,380","83,172",90.7,8,"528,376","66,047",94.7,16,"1,193,756","74,609",92.4
3,2010,NY Giants,8,"632,156","79,019",95.8,8,"558,939","69,867",96.7,16,"1,191,095","74,443",96.2
4,2010,Jets,8,"628,768","78,596",95.3,8,"534,607","66,825",95.9,16,"1,163,375","72,710",95.6
5,2010,Broncos,8,"599,264","74,908",98.4,7,"446,243","63,749",92.6,15,"1,045,507","69,700",95.8
6,2010,Panthers,8,"580,965","72,620",98.4,8,"503,943","62,992",89.5,16,"1,084,908","67,806",94.1
7,2010,Ravens,8,"569,817","71,227",100.3,8,"553,619","69,202",96.9,16,"1,123,436","70,214",98.6
8,2010,Texans,8,"568,643","71,080",100,8,"539,982","67,497",93.1,16,"1,108,625","69,289",96.5
9,2010,Packers,8,"566,362","70,795",97.1,8,"556,306","69,538",97.3,16,"1,122,668","70,166",97.2
10,2010,Saints,8,"560,304","70,038",96,8,"552,827","69,103",98.6,16,"1,113,131","69,570",97.3
11,2010,49ers,7,"488,124","69,732",99.3,8,"528,370","66,046",94.1,15,"1,016,494","67,766",96.5
12,2010,Eagles,8,"553,152","69,144",102.3,8,"572,774","71,596",97.6,16,"1,125,926","70,370",99.9
13,2010,Titans,8,"553,144","69,143",100,8,"562,121","70,265",95.8,16,"1,115,265","69,704",97.8
14,2010,Patriots,8,"550,048","68,756",100,8,"538,705","67,338",95.1,16,"1,088,753","68,047",97.5
15,2010,Falcons,8,"542,800","67,850",95.2,8,"513,390","64,173",93.3,16,"1,056,190","66,011",94.3
16,2010,Dolphins,8,"541,959","67,744",90.1,8,"535,090","66,886",95.4,16,"1,077,049","67,315",92.7
17,2010,Chiefs,8,"541,380","67,672",88.2,8,"528,400","66,050",96.1,16,"1,069,780","66,861",91.9
18,2010,Seahawks,8,"535,942","66,992",100,8,"473,541","59,192",88,16,"1,009,483","63,092",94
19,2010,Colts,8,"535,802","66,975",106.3,8,"557,979","69,747",97.1,16,"1,093,781","68,361",101.4
20,2010,Browns,8,"528,933","66,116",90.3,8,"488,974","61,121",88,16,"1,017,907","63,619",89.2
21,2010,Rams,8,"524,241","65,530",91.9,8,"504,474","63,059",92.1,16,"1,028,715","64,294",92
22,2010,Bills,7,"442,366","63,195",86.5,8,"541,538","67,692",93.9,15,"983,904","65,593",90.4
23,2010,Steelers,8,"504,669","63,083",97.1,8,"545,046","68,130",96.3,16,"1,049,715","65,607",96.7
24,2010,Jaguars,8,"504,262","63,032",93.8,8,"557,341","69,667",95,16,"1,061,603","66,350",94.4
25,2010,AZ Cardinals,8,"502,197","62,774",99,8,"520,533","65,066",93,16,"1,022,730","63,920",95.9
26,2010,Bears,8,"497,561","62,195",101.1,7,"474,556","67,793",95.1,15,"972,117","64,807",98.1
27,2010,Bengals,8,"482,917","60,364",92.1,8,"550,935","68,866",96.9,16,"1,033,852","64,615",94.6
28,2010,Vikings,8,"470,009","58,751",94.1,8,"559,788","69,973",96.1,16,"1,029,797","64,362",95.2
29,2010,Lions,8,"450,286","56,285",87.3,8,"526,932","65,866",91.6,16,"977,218","61,076",89.6
30,2010,Chargers,8,"423,383","52,922",81,8,"487,812","60,976",89.9,16,"911,195","56,949",85.5
31,2010,Buccaneers,8,"394,513","49,314",75.1,8,"542,501","67,812",93.6,16,"937,014","58,563",84.8
32,2010,Raiders,8,"371,448","46,431",73.7,8,"539,934","67,491",96.6,16,"911,382","56,961",85.7
1,2011,Cowboys,8,"684,096","85,512",106.9,8,"574,875","71,859",97.1,16,"1,258,971","78,685",102.2
2,2011,NY Giants,8,"635,800","79,475",96.3,8,"596,357","74,544",99.9,16,"1,232,157","77,009",98
3,2011,Jets,8,"631,888","78,986",95.7,8,"555,504","69,438",94.7,16,"1,187,392","74,212",95.3
4,2011,Redskins,8,"615,368","76,921",83.9,7,"491,394","70,199",96.1,15,"1,106,762","73,784",88.9
5,2011,Broncos,8,"602,618","75,327",99,8,"506,992","63,374",89.6,16,"1,109,610","69,350",94.5
6,2011,Saints,8,"584,336","73,042",100.1,8,"521,599","65,199",94.9,16,"1,105,935","69,120",97.6
7,2011,Panthers,8,"578,342","72,292",98,8,"520,245","65,030",97.5,16,"1,098,587","68,661",97.8
8,2011,Chiefs,8,"576,659","72,082",93.9,8,"530,547","66,318",96.3,16,"1,107,206","69,200",95.1
9,2011,Texans,8,"571,969","71,496",100.6,8,"487,733","60,966",88.7,16,"1,059,702","66,231",94.8
10,2011,Ravens,8,"569,792","71,224",100.3,8,"514,110","64,263",94.6,16,"1,083,902","67,743",97.5
11,2011,Packers,8,"564,097","70,512",96.7,8,"558,926","69,865",98.8,16,"1,123,023","70,188",97.7
12,2011,49ers,8,"557,856","69,732",99.3,8,"507,440","63,430",91.3,16,"1,065,296","66,581",95.3
13,2011,Eagles,8,"553,152","69,144",102.3,8,"576,019","72,002",95,16,"1,129,171","70,573",98.5
14,2011,Titans,8,"553,144","69,143",100,8,"524,553","65,569",94.1,16,"1,077,697","67,356",97
15,2011,Falcons,8,"551,892","68,986",96.8,8,"521,529","65,191",96.7,16,"1,073,421","67,088",96.8
16,2011,Patriots,8,"550,048","68,756",100,8,"564,643","70,580",95,16,"1,114,691","69,668",97.4
17,2011,Seahawks,8,"531,311","66,413",99.1,8,"539,645","67,455",96.2,16,"1,070,956","66,934",97.6
18,2011,Browns,8,"526,874","65,859",90,8,"504,118","63,014",94.7,16,"1,030,992","64,437",92.2
19,2011,Rams,8,"523,143","65,392",91.7,8,"541,749","67,718",96.7,16,"1,064,892","66,555",94.2
20,2011,Colts,8,"518,627","64,828",102.9,8,"532,063","66,507",96.5,16,"1,050,690","65,668",99.6
21,2011,Lions,8,"509,940","63,742",98.8,8,"531,640","66,455",95.6,16,"1,041,580","65,098",97.1
22,2011,Steelers,8,"504,279","63,034",97,8,"545,236","68,154",98.4,16,"1,049,515","65,594",97.7
23,2011,Vikings,8,"502,529","62,816",98,8,"545,056","68,132",93.4,16,"1,047,585","65,474",95.5
24,2011,Bills,7,"438,864","62,694",85.8,8,"542,166","67,770",90,15,"981,030","65,402",88
25,2011,Jaguars,8,"498,655","62,331",92.8,8,"551,000","68,875",96.8,16,"1,049,655","65,603",94.9
26,2011,Bears,8,"497,166","62,145",101,7,"479,196","68,456",99.6,15,"976,362","65,090",100.3
27,2011,AZ Cardinals,8,"489,455","61,181",96.5,8,"512,208","64,026",91.1,16,"1,001,663","62,603",93.6
28,2011,Dolphins,8,"487,089","60,886",81,8,"577,292","72,161",94.9,16,"1,064,381","66,523",88
29,2011,Raiders,8,"473,938","59,242",94,8,"544,691","68,086",93.8,16,"1,018,629","63,664",93.9
30,2011,Buccaneers,7,"396,300","56,614",86.2,8,"545,969","68,246",97.2,15,"942,269","62,817",92.3
31,2011,Chargers,8,"451,153","56,394",86.3,8,"550,898","68,862",95.9,16,"1,002,051","62,628",91.4
32,2011,Bengals,8,"394,009","49,251",75.2,8,"528,996","66,124",95.5,16,"923,005","57,687",85.6
1,2012,Cowboys,8,"708,249","88,531",110.7,8,"582,079","72,759",98.6,16,"1,290,328","80,645",104.9
2,2012,NY Giants,8,"643,964","80,495",97.6,8,"585,965","73,245",99.1,16,"1,229,929","76,870",98.3
3,2012,Redskins,8,"637,236","79,654",86.9,8,"552,466","69,058",96.5,16,"1,189,702","74,356",91.1
4,2012,Jets,8,"632,704","79,088",95.9,8,"509,620","63,702",92.5,16,"1,142,324","71,395",94.4
5,2012,Broncos,8,"613,062","76,632",100.7,8,"544,717","68,089",97,16,"1,157,779","72,361",98.9
6,2012,Panthers,8,"586,347","73,293",99.3,8,"522,108","65,263",90.2,16,"1,108,455","69,278",94.8
7,2012,Saints,8,"583,107","72,888",99.9,8,"580,589","72,573",99.2,16,"1,163,696","72,731",99.5
8,2012,Texans,8,"573,321","71,665",100.9,8,"550,654","68,831",99.6,16,"1,123,975","70,248",100.3
9,2012,Ravens,8,"570,229","71,278",100.4,8,"539,175","67,396",92.6,16,"1,109,404","69,337",96.5
10,2012,Packers,8,"564,062","70,507",96.7,8,"542,048","67,756",100.6,16,"1,106,110","69,131",98.5
11,2012,Falcons,8,"560,773","70,096",98.4,8,"541,625","67,703",92.7,16,"1,102,398","68,899",95.5
12,2012,49ers,8,"557,856","69,732",99.3,8,"537,052","67,131",96.4,16,"1,094,908","68,431",97.9
13,2012,Eagles,8,"553,152","69,144",102.3,8,"573,741","71,717",96.5,16,"1,126,893","70,430",99.3
14,2012,Titans,8,"553,144","69,143",100,8,"517,557","64,694",92.8,16,"1,070,701","66,918",96.4
15,2012,Patriots,8,"550,044","68,755",100,7,"500,686","71,526",99.1,15,"1,050,730","70,048",99.6
16,2012,Chiefs,8,"548,070","68,508",89.3,8,"491,973","61,496",87.8,16,"1,040,043","65,002",88.6
17,2012,Seahawks,8,"543,570","67,946",101.4,7,"432,689","61,812",91.3,15,"976,259","65,083",96.7
18,2012,Browns,8,"533,058","66,632",91,8,"532,210","66,526",94,16,"1,065,268","66,579",92.5
19,2012,Colts,8,"521,518","65,189",103.5,8,"541,127","67,640",96.4,16,"1,062,645","66,415",99.7
20,2012,Jaguars,8,"519,872","64,984",96.8,8,"490,698","61,337",89,16,"1,010,570","63,160",92.8
21,2012,Bills,7,"454,653","64,950",88.9,8,"537,840","67,230",94.8,15,"992,493","66,166",92
22,2012,Lions,8,"510,158","63,769",98.9,8,"528,293","66,036",98.6,16,"1,038,451","64,903",98.7
23,2012,Bears,8,"498,633","62,329",101.3,8,"557,829","69,728",101.2,16,"1,056,462","66,028",101.2
24,2012,Bengals,8,"489,504","61,188",93.4,8,"531,910","66,488",91.1,16,"1,021,414","63,838",92.2
25,2012,Steelers,8,"489,135","61,141",94.1,8,"589,439","73,679",101.5,16,"1,078,574","67,410",98
26,2012,AZ Cardinals,8,"487,125","60,890",96,8,"541,116","67,639",96.3,16,"1,028,241","64,265",96.2
27,2012,Vikings,8,"485,802","60,725",94.7,8,"533,900","66,737",95.9,16,"1,019,702","63,731",95.3
28,2012,Rams,8,"479,716","59,964",84.1,8,"542,350","67,793",94.3,16,"1,022,066","63,879",89.2
29,2012,Dolphins,8,"459,033","57,379",76.3,8,"546,084","68,260",97.9,16,"1,005,117","62,819",86.7
30,2012,Chargers,7,"396,925","56,703",86.8,8,"494,896","61,862",91.6,15,"891,821","59,454",89.4
31,2012,Buccaneers,8,"440,819","55,102",83.9,8,"563,638","70,454",96.6,16,"1,004,457","62,778",90.6
32,2012,Raiders,8,"433,732","54,216",86,8,"542,499","67,812",93.4,16,"976,231","61,014",90
1,2013,Cowboys,8,"704,345","88,043",110.1,8,"575,233","71,904",97.7,16,"1,279,578","79,973",104.1
2,2013,NY Giants,8,"641,184","80,148",97.1,8,"568,348","71,043",96.8,16,"1,209,532","75,595",97
3,2013,Packers,8,"623,577","77,947",106.9,8,"567,628","70,953",101.5,16,"1,191,205","74,450",104.2
4,2013,Redskins,8,"617,767","77,220",84.2,8,"582,240","72,780",100.8,16,"1,200,007","75,000",91.5
5,2013,Jets,8,"615,656","76,957",93.3,8,"553,452","69,181",97.5,16,"1,169,108","73,069",95.2
6,2013,Broncos,8,"614,977","76,872",101,8,"579,168","72,396",100.5,16,"1,194,145","74,634",100.7
7,2013,Chiefs,8,"602,877","75,359",98.2,8,"515,130","64,391",88.9,16,"1,118,007","69,875",93.7
8,2013,Panthers,8,"587,544","73,443",99.5,8,"524,685","65,585",94.4,16,"1,112,229","69,514",97
9,2013,Saints,8,"583,210","72,901",99.9,8,"540,020","67,502",97.2,16,"1,123,230","70,201",98.6
10,2013,Texans,8,"573,271","71,658",100.9,8,"530,412","66,301",96.1,16,"1,103,683","68,980",98.5
11,2013,Browns,8,"569,939","71,242",97.3,8,"552,811","69,101",97.6,16,"1,122,750","70,171",97.4
12,2013,Ravens,8,"569,084","71,135",100.2,8,"536,938","67,117",96.9,16,"1,106,022","69,126",98.6
13,2013,Falcons,8,"561,795","70,224",98.6,7,"480,041","68,577",97.2,15,"1,041,836","69,455",97.9
14,2013,49ers,8,"557,856","69,732",99.3,7,"474,631","67,804",95.8,15,"1,032,487","68,832",97.7
15,2013,Eagles,8,"553,152","69,144",102.3,8,"588,003","73,500",98.6,16,"1,141,155","71,322",100.4
