,GeoName,IndustryClassification,Description,2017
952,"Denver-Aurora-Lakewood, CO","11, 21",Natural resources and mining,
953,"Denver-Aurora-Lakewood, CO","42, 44-45",Trade,
959,"Detroit-Warren-Dearborn, MI",11,"  Agriculture, forestry, fishing, and hunting",
962,"Detroit-Warren-Dearborn, MI",21,"  Mining, quarrying, and oil and gas extraction",
966,"Detroit-Warren-Dearborn, MI",22,  Utilities,2946.3
967,"Detroit-Warren-Dearborn, MI",23,  Construction,8066.1
968,"Detroit-Warren-Dearborn, MI",31-33,  Manufacturing,41040.7
990,"Detroit-Warren-Dearborn, MI",42,  Wholesale trade,
991,"Detroit-Warren-Dearborn, MI",44-45,  Retail trade,13963.9
992,"Detroit-Warren-Dearborn, MI",48-49,  Transportation and warehousing,
1001,"Detroit-Warren-Dearborn, MI",51,  Information,6593.3
1006,"Detroit-Warren-Dearborn, MI","52, 53","  Finance, insurance, real estate, rental, and leasing",43338.9
1007,"Detroit-Warren-Dearborn, MI",52,   Finance and insurance,12239.9
1012,"Detroit-Warren-Dearborn, MI",53,   Real estate and rental and leasing,31104.6
1015,"Detroit-Warren-Dearborn, MI","54, 55, 56",  Professional and business services,41378.5
1016,"Detroit-Warren-Dearborn, MI",54,"   Professional, scientific, and technical services",25468.3
1017,"Detroit-Warren-Dearborn, MI",55,   Management of companies and enterprises,7941.1
1018,"Detroit-Warren-Dearborn, MI",56,   Administrative and support and waste management and remediation services,7998.5
1021,"Detroit-Warren-Dearborn, MI","61, 62","  Educational services, health care, and social assistance",18763.8
1022,"Detroit-Warren-Dearborn, MI",61,   Educational services,1273.1
1023,"Detroit-Warren-Dearborn, MI",62,   Health care and social assistance,17505.0
1027,"Detroit-Warren-Dearborn, MI","71, 72","  Arts, entertainment, recreation, accommodation, and food services",7773.4
1028,"Detroit-Warren-Dearborn, MI",71,"   Arts, entertainment, and recreation",2047.2
1031,"Detroit-Warren-Dearborn, MI",72,   Accommodation and food services,5730.1
1034,"Detroit-Warren-Dearborn, MI",81,  Other services (except government and government enterprises),4618.2
1039,"Detroit-Warren-Dearborn, MI","11, 21",Natural resources and mining,575.6
1040,"Detroit-Warren-Dearborn, MI","42, 44-45",Trade,
1046,"Green Bay, WI",11,"  Agriculture, forestry, fishing, and hunting",405.3
1049,"Green Bay, WI",21,"  Mining, quarrying, and oil and gas extraction",36.6
1053,"Green Bay, WI",22,  Utilities,436.3
1054,"Green Bay, WI",23,  Construction,632.1
1055,"Green Bay, WI",31-33,  Manufacturing,2986.1
1077,"Green Bay, WI",42,  Wholesale trade,1120.3
1078,"Green Bay, WI",44-45,  Retail trade,909.9
1079,"Green Bay, WI",48-49,  Transportation and warehousing,616.2
1088,"Green Bay, WI",51,  Information,381.7
1093,"Green Bay, WI","52, 53","  Finance, insurance, real estate, rental, and leasing",3630.8
1094,"Green Bay, WI",52,   Finance and insurance,2151.3
1099,"Green Bay, WI",53,   Real estate and rental and leasing,1465.2
1102,"Green Bay, WI","54, 55, 56",  Professional and business services,1696.5
1103,"Green Bay, WI",54,"   Professional, scientific, and technical services",
1104,"Green Bay, WI",55,   Management of companies and enterprises,604.1
1105,"Green Bay, WI",56,   Administrative and support and waste management and remediation services,
1108,"Green Bay, WI","61, 62","  Educational services, health care, and social assistance",1688.2
1109,"Green Bay, WI",61,   Educational services,
1110,"Green Bay, WI",62,   Health care and social assistance,
1114,"Green Bay, WI","71, 72","  Arts, entertainment, recreation, accommodation, and food services",684.9
1115,"Green Bay, WI",71,"   Arts, entertainment, and recreation",346.5
1118,"Green Bay, WI",72,   Accommodation and food services,339.1
1121,"Green Bay, WI",81,  Other services (except government and government enterprises),291.8
1126,"Green Bay, WI","11, 21",Natural resources and mining,439.9
1127,"Green Bay, WI","42, 44-45",Trade,2030.1
1133,"Houston-The Woodlands-Sugar Land, TX",11,"  Agriculture, forestry, fishing, and hunting",318.3
1136,"Houston-The Woodlands-Sugar Land, TX",21,"  Mining, quarrying, and oil and gas extraction",52090.4
1140,"Houston-The Woodlands-Sugar Land, TX",22,  Utilities,
1141,"Houston-The Woodlands-Sugar Land, TX",23,  Construction,23949.4
1142,"Houston-The Woodlands-Sugar Land, TX",31-33,  Manufacturing,64586.5
1164,"Houston-The Woodlands-Sugar Land, TX",42,  Wholesale trade,36877.7
1165,"Houston-The Woodlands-Sugar Land, TX",44-45,  Retail trade,22530.4
1166,"Houston-The Woodlands-Sugar Land, TX",48-49,  Transportation and warehousing,
1175,"Houston-The Woodlands-Sugar Land, TX",51,  Information,9312.6
1180,"Houston-The Woodlands-Sugar Land, TX","52, 53","  Finance, insurance, real estate, rental, and leasing",55514.4
1181,"Houston-The Woodlands-Sugar Land, TX",52,   Finance and insurance,16287.4
1186,"Houston-The Woodlands-Sugar Land, TX",53,   Real estate and rental and leasing,39007.7
1189,"Houston-The Woodlands-Sugar Land, TX","54, 55, 56",  Professional and business services,59194.3
1190,"Houston-The Woodlands-Sugar Land, TX",54,"   Professional, scientific, and technical services",34940.6
1191,"Houston-The Woodlands-Sugar Land, TX",55,   Management of companies and enterprises,9384.1
1192,"Houston-The Woodlands-Sugar Land, TX",56,   Administrative and support and waste management and remediation services,15173.0
1195,"Houston-The Woodlands-Sugar Land, TX","61, 62","  Educational services, health care, and social assistance",23332.4
1196,"Houston-The Woodlands-Sugar Land, TX",61,   Educational services,2922.5
1197,"Houston-The Woodlands-Sugar Land, TX",62,   Health care and social assistance,20432.9
1201,"Houston-The Woodlands-Sugar Land, TX","71, 72","  Arts, entertainment, recreation, accommodation, and food services",12147.4
1202,"Houston-The Woodlands-Sugar Land, TX",71,"   Arts, entertainment, and recreation",
1205,"Houston-The Woodlands-Sugar Land, TX",72,   Accommodation and food services,
1208,"Houston-The Woodlands-Sugar Land, TX",81,  Other services (except government and government enterprises),7740.1
1213,"Houston-The Woodlands-Sugar Land, TX","11, 21",Natural resources and mining,52469.2
1214,"Houston-The Woodlands-Sugar Land, TX","42, 44-45",Trade,59368.9
1220,"Indianapolis-Carmel-Anderson, IN",11,"  Agriculture, forestry, fishing, and hunting",539.3
1223,"Indianapolis-Carmel-Anderson, IN",21,"  Mining, quarrying, and oil and gas extraction",207.3
1227,"Indianapolis-Carmel-Anderson, IN",22,  Utilities,1566.7
1228,"Indianapolis-Carmel-Anderson, IN",23,  Construction,4116.2
1229,"Indianapolis-Carmel-Anderson, IN",31-33,  Manufacturing,22720.8
1251,"Indianapolis-Carmel-Anderson, IN",42,  Wholesale trade,7915.7
1252,"Indianapolis-Carmel-Anderson, IN",44-45,  Retail trade,7717.3
1253,"Indianapolis-Carmel-Anderson, IN",48-49,  Transportation and warehousing,4222.7
1262,"Indianapolis-Carmel-Anderson, IN",51,  Information,3420.1
1267,"Indianapolis-Carmel-Anderson, IN","52, 53","  Finance, insurance, real estate, rental, and leasing",29545.6
1268,"Indianapolis-Carmel-Anderson, IN",52,   Finance and insurance,10416.6
1273,"Indianapolis-Carmel-Anderson, IN",53,   Real estate and rental and leasing,19035.3
1276,"Indianapolis-Carmel-Anderson, IN","54, 55, 56",  Professional and business services,14330.0
1277,"Indianapolis-Carmel-Anderson, IN",54,"   Professional, scientific, and technical services",
1278,"Indianapolis-Carmel-Anderson, IN",55,   Management of companies and enterprises,
1279,"Indianapolis-Carmel-Anderson, IN",56,   Administrative and support and waste management and remediation services,4721.1
1282,"Indianapolis-Carmel-Anderson, IN","61, 62","  Educational services, health care, and social assistance",10808.3
1283,"Indianapolis-Carmel-Anderson, IN",61,   Educational services,
1284,"Indianapolis-Carmel-Anderson, IN",62,   Health care and social assistance,
1288,"Indianapolis-Carmel-Anderson, IN","71, 72","  Arts, entertainment, recreation, accommodation, and food services",4279.5
1289,"Indianapolis-Carmel-Anderson, IN",71,"   Arts, entertainment, and recreation",1551.4
1292,"Indianapolis-Carmel-Anderson, IN",72,   Accommodation and food services,2728.5
1295,"Indianapolis-Carmel-Anderson, IN",81,  Other services (except government and government enterprises),2395.8
1300,"Indianapolis-Carmel-Anderson, IN","11, 21",Natural resources and mining,748.2
1301,"Indianapolis-Carmel-Anderson, IN","42, 44-45",Trade,15630.9
1307,"Jacksonville, FL",11,"  Agriculture, forestry, fishing, and hunting",121.6
1310,"Jacksonville, FL",21,"  Mining, quarrying, and oil and gas extraction",76.4
1314,"Jacksonville, FL",22,  Utilities,
1315,"Jacksonville, FL",23,  Construction,3377.4
1316,"Jacksonville, FL",31-33,  Manufacturing,4282.8
1338,"Jacksonville, FL",42,  Wholesale trade,
1339,"Jacksonville, FL",44-45,  Retail trade,4774.6
1340,"Jacksonville, FL",48-49,  Transportation and warehousing,2906.2
1349,"Jacksonville, FL",51,  Information,2879.9
1354,"Jacksonville, FL","52, 53","  Finance, insurance, real estate, rental, and leasing",
1355,"Jacksonville, FL",52,   Finance and insurance,6082.5
1360,"Jacksonville, FL",53,   Real estate and rental and leasing,
1363,"Jacksonville, FL","54, 55, 56",  Professional and business services,8152.2
1364,"Jacksonville, FL",54,"   Professional, scientific, and technical services",4307.9
1365,"Jacksonville, FL",55,   Management of companies and enterprises,981.2
1366,"Jacksonville, FL",56,   Administrative and support and waste management and remediation services,2867.0
1369,"Jacksonville, FL","61, 62","  Educational services, health care, and social assistance",6590.3
1370,"Jacksonville, FL",61,   Educational services,409.0
1371,"Jacksonville, FL",62,   Health care and social assistance,6192.2
1375,"Jacksonville, FL","71, 72","  Arts, entertainment, recreation, accommodation, and food services",
1376,"Jacksonville, FL",71,"   Arts, entertainment, and recreation",
1379,"Jacksonville, FL",72,   Accommodation and food services,2243.0
1382,"Jacksonville, FL",81,  Other services (except government and government enterprises),1642.3
1387,"Jacksonville, FL","11, 21",Natural resources and mining,188.6
1388,"Jacksonville, FL","42, 44-45",Trade,
1394,"Kansas City, MO-KS",11,"  Agriculture, forestry, fishing, and hunting",233.9
1397,"Kansas City, MO-KS",21,"  Mining, quarrying, and oil and gas extraction",112.6
1401,"Kansas City, MO-KS",22,  Utilities,1714.2
1402,"Kansas City, MO-KS",23,  Construction,4186.9
1403,"Kansas City, MO-KS",31-33,  Manufacturing,11813.2
1425,"Kansas City, MO-KS",42,  Wholesale trade,8884.1
1426,"Kansas City, MO-KS",44-45,  Retail trade,7163.6
1427,"Kansas City, MO-KS",48-49,  Transportation and warehousing,4253.7
1436,"Kansas City, MO-KS",51,  Information,4463.4
1441,"Kansas City, MO-KS","52, 53","  Finance, insurance, real estate, rental, and leasing",25725.3
1442,"Kansas City, MO-KS",52,   Finance and insurance,8660.5
1447,"Kansas City, MO-KS",53,   Real estate and rental and leasing,17159.2
1450,"Kansas City, MO-KS","54, 55, 56",  Professional and business services,18703.7
1451,"Kansas City, MO-KS",54,"   Professional, scientific, and technical services",11205.2
1452,"Kansas City, MO-KS",55,   Management of companies and enterprises,3787.4
1453,"Kansas City, MO-KS",56,   Administrative and support and waste management and remediation services,3755.1
1456,"Kansas City, MO-KS","61, 62","  Educational services, health care, and social assistance",
1457,"Kansas City, MO-KS",61,   Educational services,
1458,"Kansas City, MO-KS",62,   Health care and social assistance,8484.6
1462,"Kansas City, MO-KS","71, 72","  Arts, entertainment, recreation, accommodation, and food services",4119.4
1463,"Kansas City, MO-KS",71,"   Arts, entertainment, and recreation",
1466,"Kansas City, MO-KS",72,   Accommodation and food services,
1469,"Kansas City, MO-KS",81,  Other services (except government and government enterprises),
1474,"Kansas City, MO-KS","11, 21",Natural resources and mining,350.5
1475,"Kansas City, MO-KS","42, 44-45",Trade,16055.2
1481,"Las Vegas-Henderson-Paradise, NV",11,"  Agriculture, forestry, fishing, and hunting",10.2
1484,"Las Vegas-Henderson-Paradise, NV",21,"  Mining, quarrying, and oil and gas extraction",81.0
1488,"Las Vegas-Henderson-Paradise, NV",22,  Utilities,1129.1
1489,"Las Vegas-Henderson-Paradise, NV",23,  Construction,3852.2
1490,"Las Vegas-Henderson-Paradise, NV",31-33,  Manufacturing,3014.1
1512,"Las Vegas-Henderson-Paradise, NV",42,  Wholesale trade,3826.2
1513,"Las Vegas-Henderson-Paradise, NV",44-45,  Retail trade,7770.2
1514,"Las Vegas-Henderson-Paradise, NV",48-49,  Transportation and warehousing,3717.2
1523,"Las Vegas-Henderson-Paradise, NV",51,  Information,3298.6
1528,"Las Vegas-Henderson-Paradise, NV","52, 53","  Finance, insurance, real estate, rental, and leasing",20968.7
1529,"Las Vegas-Henderson-Paradise, NV",52,   Finance and insurance,4337.4
1534,"Las Vegas-Henderson-Paradise, NV",53,   Real estate and rental and leasing,16705.3
1537,"Las Vegas-Henderson-Paradise, NV","54, 55, 56",  Professional and business services,11579.2
1538,"Las Vegas-Henderson-Paradise, NV",54,"   Professional, scientific, and technical services",4392.0
1539,"Las Vegas-Henderson-Paradise, NV",55,   Management of companies and enterprises,3678.6
1540,"Las Vegas-Henderson-Paradise, NV",56,   Administrative and support and waste management and remediation services,3579.8
1543,"Las Vegas-Henderson-Paradise, NV","61, 62","  Educational services, health care, and social assistance",6161.7
1544,"Las Vegas-Henderson-Paradise, NV",61,   Educational services,393.8
1545,"Las Vegas-Henderson-Paradise, NV",62,   Health care and social assistance,5767.7
1549,"Las Vegas-Henderson-Paradise, NV","71, 72","  Arts, entertainment, recreation, accommodation, and food services",18679.1
1550,"Las Vegas-Henderson-Paradise, NV",71,"   Arts, entertainment, and recreation",2697.9
1553,"Las Vegas-Henderson-Paradise, NV",72,   Accommodation and food services,15980.6
1556,"Las Vegas-Henderson-Paradise, NV",81,  Other services (except government and government enterprises),1817.4
1561,"Las Vegas-Henderson-Paradise, NV","11, 21",Natural resources and mining,89.5
1562,"Las Vegas-Henderson-Paradise, NV","42, 44-45",Trade,11588.3
1568,"Los Angeles-Long Beach-Anaheim, CA",11,"  Agriculture, forestry, fishing, and hunting",373.5
1571,"Los Angeles-Long Beach-Anaheim, CA",21,"  Mining, quarrying, and oil and gas extraction",2467.1
1575,"Los Angeles-Long Beach-Anaheim, CA",22,  Utilities,6850.6
1576,"Los Angeles-Long Beach-Anaheim, CA",23,  Construction,25591.1
1577,"Los Angeles-Long Beach-Anaheim, CA",31-33,  Manufacturing,79097.4
1599,"Los Angeles-Long Beach-Anaheim, CA",42,  Wholesale trade,57039.4
1600,"Los Angeles-Long Beach-Anaheim, CA",44-45,  Retail trade,49804.9
1601,"Los Angeles-Long Beach-Anaheim, CA",48-49,  Transportation and warehousing,21636.2
1610,"Los Angeles-Long Beach-Anaheim, CA",51,  Information,116237.7
1615,"Los Angeles-Long Beach-Anaheim, CA","52, 53","  Finance, insurance, real estate, rental, and leasing",235190.5
1616,"Los Angeles-Long Beach-Anaheim, CA",52,   Finance and insurance,38241.8
1621,"Los Angeles-Long Beach-Anaheim, CA",53,   Real estate and rental and leasing,198864.5
1624,"Los Angeles-Long Beach-Anaheim, CA","54, 55, 56",  Professional and business services,110605.9
1625,"Los Angeles-Long Beach-Anaheim, CA",54,"   Professional, scientific, and technical services",67013.3
1626,"Los Angeles-Long Beach-Anaheim, CA",55,   Management of companies and enterprises,14276.4
1627,"Los Angeles-Long Beach-Anaheim, CA",56,   Administrative and support and waste management and remediation services,29319.7
1630,"Los Angeles-Long Beach-Anaheim, CA","61, 62","  Educational services, health care, and social assistance",61681.7
1631,"Los Angeles-Long Beach-Anaheim, CA",61,   Educational services,8497.7
1632,"Los Angeles-Long Beach-Anaheim, CA",62,   Health care and social assistance,53313.2
1636,"Los Angeles-Long Beach-Anaheim, CA","71, 72","  Arts, entertainment, recreation, accommodation, and food services",43039.9
1637,"Los Angeles-Long Beach-Anaheim, CA",71,"   Arts, entertainment, and recreation",19403.4
1640,"Los Angeles-Long Beach-Anaheim, CA",72,   Accommodation and food services,23592.1
1643,"Los Angeles-Long Beach-Anaheim, CA",81,  Other services (except government and government enterprises),18815.3
1648,"Los Angeles-Long Beach-Anaheim, CA","11, 21",Natural resources and mining,2979.3
1649,"Los Angeles-Long Beach-Anaheim, CA","42, 44-45",Trade,106821.3
1655,"Memphis, TN-MS-AR",11,"  Agriculture, forestry, fishing, and hunting",156.3
1658,"Memphis, TN-MS-AR",21,"  Mining, quarrying, and oil and gas extraction",16.5
1662,"Memphis, TN-MS-AR",22,  Utilities,403.3
1663,"Memphis, TN-MS-AR",23,  Construction,1999.1
1664,"Memphis, TN-MS-AR",31-33,  Manufacturing,8903.2
1686,"Memphis, TN-MS-AR",42,  Wholesale trade,6412.1
1687,"Memphis, TN-MS-AR",44-45,  Retail trade,4649.8
1688,"Memphis, TN-MS-AR",48-49,  Transportation and warehousing,5822.8
1697,"Memphis, TN-MS-AR",51,  Information,1304.0
1702,"Memphis, TN-MS-AR","52, 53","  Finance, insurance, real estate, rental, and leasing",9625.3
1703,"Memphis, TN-MS-AR",52,   Finance and insurance,2734.4
1708,"Memphis, TN-MS-AR",53,   Real estate and rental and leasing,6840.5
1711,"Memphis, TN-MS-AR","54, 55, 56",  Professional and business services,6398.7
1712,"Memphis, TN-MS-AR",54,"   Professional, scientific, and technical services",2015.0
1713,"Memphis, TN-MS-AR",55,   Management of companies and enterprises,
1714,"Memphis, TN-MS-AR",56,   Administrative and support and waste management and remediation services,
1717,"Memphis, TN-MS-AR","61, 62","  Educational services, health care, and social assistance",5299.4
1718,"Memphis, TN-MS-AR",61,   Educational services,442.3
1719,"Memphis, TN-MS-AR",62,   Health care and social assistance,4858.8
1723,"Memphis, TN-MS-AR","71, 72","  Arts, entertainment, recreation, accommodation, and food services",2711.6
1724,"Memphis, TN-MS-AR",71,"   Arts, entertainment, and recreation",534.4
1727,"Memphis, TN-MS-AR",72,   Accommodation and food services,2181.3
1730,"Memphis, TN-MS-AR",81,  Other services (except government and government enterprises),1435.0
1735,"Memphis, TN-MS-AR","11, 21",Natural resources and mining,172.0
1736,"Memphis, TN-MS-AR","42, 44-45",Trade,11069.1
1742,"Miami-Fort Lauderdale-West Palm Beach, FL",11,"  Agriculture, forestry, fishing, and hunting",1131.0
1745,"Miami-Fort Lauderdale-West Palm Beach, FL",21,"  Mining, quarrying, and oil and gas extraction",343.3
1749,"Miami-Fort Lauderdale-West Palm Beach, FL",22,  Utilities,4678.4
1750,"Miami-Fort Lauderdale-West Palm Beach, FL",23,  Construction,12423.9
1751,"Miami-Fort Lauderdale-West Palm Beach, FL",31-33,  Manufacturing,10704.7
1773,"Miami-Fort Lauderdale-West Palm Beach, FL",42,  Wholesale trade,25500.2
1774,"Miami-Fort Lauderdale-West Palm Beach, FL",44-45,  Retail trade,21951.2
1775,"Miami-Fort Lauderdale-West Palm Beach, FL",48-49,  Transportation and warehousing,11510.6
1784,"Miami-Fort Lauderdale-West Palm Beach, FL",51,  Information,18157.1
1789,"Miami-Fort Lauderdale-West Palm Beach, FL","52, 53","  Finance, insurance, real estate, rental, and leasing",75358.3
1790,"Miami-Fort Lauderdale-West Palm Beach, FL",52,   Finance and insurance,15201.3
1795,"Miami-Fort Lauderdale-West Palm Beach, FL",53,   Real estate and rental and leasing,60453.0
1798,"Miami-Fort Lauderdale-West Palm Beach, FL","54, 55, 56",  Professional and business services,40602.4
1799,"Miami-Fort Lauderdale-West Palm Beach, FL",54,"   Professional, scientific, and technical services",22427.2
1800,"Miami-Fort Lauderdale-West Palm Beach, FL",55,   Management of companies and enterprises,5595.3
1801,"Miami-Fort Lauderdale-West Palm Beach, FL",56,   Administrative and support and waste management and remediation services,12637.4
1804,"Miami-Fort Lauderdale-West Palm Beach, FL","61, 62","  Educational services, health care, and social assistance",25083.6
1805,"Miami-Fort Lauderdale-West Palm Beach, FL",61,   Educational services,3016.7
1806,"Miami-Fort Lauderdale-West Palm Beach, FL",62,   Health care and social assistance,22127.8
1810,"Miami-Fort Lauderdale-West Palm Beach, FL","71, 72","  Arts, entertainment, recreation, accommodation, and food services",14646.8
1811,"Miami-Fort Lauderdale-West Palm Beach, FL",71,"   Arts, entertainment, and recreation",3812.8
1814,"Miami-Fort Lauderdale-West Palm Beach, FL",72,   Accommodation and food services,10843.5
1817,"Miami-Fort Lauderdale-West Palm Beach, FL",81,  Other services (except government and government enterprises),7688.3
1822,"Miami-Fort Lauderdale-West Palm Beach, FL","11, 21",Natural resources and mining,1488.0
1823,"Miami-Fort Lauderdale-West Palm Beach, FL","42, 44-45",Trade,47442.7
1829,"Milwaukee-Waukesha-West Allis, WI",11,"  Agriculture, forestry, fishing, and hunting",93.8
1832,"Milwaukee-Waukesha-West Allis, WI",21,"  Mining, quarrying, and oil and gas extraction",162.3
1836,"Milwaukee-Waukesha-West Allis, WI",22,  Utilities,1277.8
1837,"Milwaukee-Waukesha-West Allis, WI",23,  Construction,2766.0
1838,"Milwaukee-Waukesha-West Allis, WI",31-33,  Manufacturing,14913.1
1860,"Milwaukee-Waukesha-West Allis, WI",42,  Wholesale trade,6179.2
1861,"Milwaukee-Waukesha-West Allis, WI",44-45,  Retail trade,5115.6
1862,"Milwaukee-Waukesha-West Allis, WI",48-49,  Transportation and warehousing,1844.7
1871,"Milwaukee-Waukesha-West Allis, WI",51,  Information,3056.1
1876,"Milwaukee-Waukesha-West Allis, WI","52, 53","  Finance, insurance, real estate, rental, and leasing",23133.5
1877,"Milwaukee-Waukesha-West Allis, WI",52,   Finance and insurance,8921.1
1882,"Milwaukee-Waukesha-West Allis, WI",53,   Real estate and rental and leasing,14017.4
1885,"Milwaukee-Waukesha-West Allis, WI","54, 55, 56",  Professional and business services,12170.8
1886,"Milwaukee-Waukesha-West Allis, WI",54,"   Professional, scientific, and technical services",5398.9
1887,"Milwaukee-Waukesha-West Allis, WI",55,   Management of companies and enterprises,3995.5
1888,"Milwaukee-Waukesha-West Allis, WI",56,   Administrative and support and waste management and remediation services,2785.4
1891,"Milwaukee-Waukesha-West Allis, WI","61, 62","  Educational services, health care, and social assistance",9904.3
1892,"Milwaukee-Waukesha-West Allis, WI",61,   Educational services,1573.7
1893,"Milwaukee-Waukesha-West Allis, WI",62,   Health care and social assistance,8344.7
1897,"Milwaukee-Waukesha-West Allis, WI","71, 72","  Arts, entertainment, recreation, accommodation, and food services",2522.2
